"Site","Date","Turbidity","TSS","ChlA","DOC","DTN","pH","ANC","SC","Na","NH4","K","Mg","Ca","F","Cl","NO3","PO4","SO4","FCW_Number","Year","site_code","data_source","Lat","Long","location","Campaign","watershed","status","Buffer_Level","Watershed_Level","distance_upstream_km","Time","Field_DO_mgL","Field_Cond_µS/cm","Field_Temp_C","dt"
"Barnes Meadow Outflow",2022-07-26,5.09,3.12,1.43,6.44,0.8,6.99,630.56,82.21,2.31,0.41,1.18,1.43,10.21,0.05,1.66,0.24,0,7.78,1668,2022,"BMD","ROSS","40.600376",-105.836378,"Outflow","Chambers Complex","Barnes Meadow Reservoir","Burned",0.1845300397739167,0.4490768485927012,84.049,"14:09",,,,2022-07-26 20:09:00.000000
"Barnes Meadow Reservoir",2022-07-26,8.36,10.11,5.55,6.84,0.36,7.05,512.01,76.95,2.39,0.04,1.25,1.57,11.08,0.02,1.58,0.16,0,8.45,1669,2022,"BRNR","ROSS","40.599908",-105.830604,"Reservoir","Chambers Complex","Barnes Meadow Reservoir","Burned",0.1845300397739167,0.4490768485927012,85.149,"14:35",,,,2022-07-26 20:35:00.000000
"Chambers Reservoir",2022-07-26,22.08,17.4,2.83,2.81,0.23,7.15,362.37,41.86,1.23,0.03,0.68,1.03,5.34,0.06,0.38,0.08,0,1.49,1670,2022,"CBRR","ROSS","40.603457",-105.845931,"Reservoir","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.19135067209931075,87.814,"15:05",,,,2022-07-26 21:05:00.000000
"Chambers Outflow",2022-07-26,11.39,11.2,2.79,2.74,0.41,7.15,479.75,47.55,1.41,0.04,0.8,0.98,6.03,0.02,0.51,0.41,0,1.84,1671,2022,"CHD","ROSS","40.60233229",-105.8427286,"Outflow","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.19135067209931075,86.049,,,,,
"Sawmill",2022-08-01,1.17,1.4,,1.1,0.31,6.99,382.42,39.16,0.75,0.01,0.59,0.99,5.24,0.04,0.17,0.44,0,1.49,1672,2022,"SAWM","ROSS","40.581377",-105.856229,"Stream","Tributary","CLP Tributary","Partially Burned",,,90.13,"9:01",,,,2022-08-01 15:01:00.000000
"Beaver",2022-08-01,2.44,9.8,,2.48,0.28,6.79,234.96,27.8,1.58,0.01,0.38,0.66,3.45,0.04,0.23,0.31,0,0.79,1682,2022,"BEAV","ROSS","40.579336",-105.5940998,"Stream","South Fork","CLP Tributary","Burned",,,61.499,"16:30",,,,2022-08-01 22:30:00.000000
"Joe Wright Inlet",2022-08-02,4.37,3.21,0.26,1.11,0.56,7.22,544.87,62.16,1.33,0.03,0.34,1.44,8,0.06,0.33,0.47,0,5.67,1683,2022,"JOEI","ROSS","40.54013102",-105.8831698,"Inflow","Chambers Complex","Joe Wright Reservoir","Unburned",0.006530548628428928,0,95.264,"9:07",,,,2022-08-02 15:07:00.000000
"Joe Wright Reservoir",2022-08-02,4.69,2.8,2.52,3.7,0.16,7.24,434.34,51.53,1.45,0.02,0.64,1.39,6.81,0.1,0.48,0.07,0,3.11,1684,2022,"JOER","ROSS","40.55593744",-105.8749619,"Reservoir","Chambers Complex","Joe Wright Reservoir","Partially Burned",0.006530548628428928,0.048734263332836585,93.218,"9:40",,,,2022-08-02 15:40:00.000000
"Chambers Inlet",2022-08-02,5.37,4.2,0.85,2.72,0.27,6.95,489.07,52.14,1.72,0.01,0.77,1.29,6.89,0.04,0.57,0.24,0,2.34,1685,2022,"CBRI","ROSS","40.57795281",-105.8572773,"Inflow","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.11067457970644089,90.13,"10:04",,,,2022-08-02 16:04:00.000000
"Long Draw Reservoir",2022-08-02,8.89,10.4,1.2,2.92,0.23,7.04,333.16,53.29,1.04,0.03,0.49,0.97,7.02,0.18,0.17,0.32,0.08,7.13,1687,2022,"LNGR","ROSS","40.50087627",-105.7725307,"Reservoir","Longdraw","Long Draw Reservoir","Unburned",0,0,100.445,"11:10",,,,2022-08-02 17:10:00.000000
"Long Draw Outlet",2022-08-02,4.29,2.75,1.48,2.34,0.19,6.94,291.35,51.64,0.9,0.02,0.49,1.29,7.72,0.17,0.12,0.57,0,8.52,1688,2022,"LNGO","ROSS","40.50368571",-105.7709459,"Outflow","Longdraw","Long Draw Reservoir","Unburned",0,0,98.705,"11:38",,,,2022-08-02 17:38:00.000000
"Peterson Reservoir",2022-08-02,12.8,12.2,2.4,6.94,0.38,6.94,305.8,37.91,1.52,0.04,1.08,0.74,5.39,0.02,0.5,0.17,0,2.06,1689,2022,"PTRR","ROSS","40.55936515",-105.7940034,"Reservoir","Longdraw","Peterson Reservoir","Burned",0.32090379008746356,0.3055062638172439,91.236,"12:50",,,,2022-08-02 18:50:00.000000
"Peterson Outlet",2022-08-02,2.05,1.8,0.82,6.6,0.4,6.95,423.38,47.89,1.42,0.02,1.14,0.72,5.99,0.02,0.52,0.12,0,2.55,1690,2022,"PTRO","ROSS","40.56063874",-105.7929021,"Outflow","Longdraw","Peterson Reservoir","Burned",0.32090379008746356,0.3055062638172439,91.236,"12:49",,,,2022-08-02 18:49:00.000000
"Barnes Meadow Outflow",2022-08-02,6.28,6.2,0.87,6.25,0.92,6.98,593.33,81.94,2.31,0.46,1.23,1.46,10.21,0.02,1.72,0.21,0,6.56,1691,2022,"BMD","ROSS","40.600376",-105.836378,"Outflow","Chambers Complex","Barnes Meadow Reservoir","Burned",0.1845300397739167,0.4490768485927012,84.049,"14:00",,,,2022-08-02 20:00:00.000000
"Barnes Meadow Reservoir",2022-08-02,6.2,7.6,4.9,6.97,0.51,7.16,648.9,91.4,2.41,0.04,1.27,1.53,10.88,0.03,1.6,0.05,0,8.1,1692,2022,"BRNR","ROSS","40.599908",-105.830604,"Reservoir","Chambers Complex","Barnes Meadow Reservoir","Burned",0.1845300397739167,0.4490768485927012,85.149,"14:19",,,,2022-08-02 20:19:00.000000
"Chambers Reservoir",2022-08-02,12.03,10.4,3.33,2.77,0.18,7.14,438.61,44.54,1.34,0.03,0.75,1.06,5.67,0.04,0.42,0.07,0,1.89,1693,2022,"CBRR","ROSS","40.603457",-105.845931,"Reservoir","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.19135067209931075,87.814,"14:55",,,,2022-08-02 20:55:00.000000
"Chambers Outflow",2022-08-02,5.02,5.2,3.05,2.79,0.36,7.14,437.01,52.57,1.77,0.04,0.9,1.26,7.56,0.02,0.53,0.33,0,2,1694,2022,"CHD","ROSS","40.60233229",-105.8427286,"Outflow","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.19135067209931075,86.049,"15:12",,,,2022-08-02 21:12:00.000000
"JWC-Joe Wright @ Aspen Glen Campground",2022-08-08,4.88,3,2.64,2.92,0.35,7.44,379.73,43.38,1.25,0.03,0.62,1,6,0.02,0.53,0.18,0,2.19,1695,2022,"JWC","ROSS","40.61988",-105.81937,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,80.916,,,,,
"Poudre Above Joe Wright",2022-08-08,6.02,4.8,0.91,2.75,0.35,7.04,336.31,47.04,1.09,0.03,0.45,0.94,6.3,0.04,0.18,0.65,0,5.41,1696,2022,"PJW","ROSS","40.634114",-105.807264,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,80.916,"9:20",,,,2022-08-08 15:20:00.000000
"Poudre Below Rustic",2022-08-08,7.21,7.45,0.61,2.83,0.36,7.43,395.35,52.1,1.78,0.02,0.65,1.37,6.8,0.03,0.49,0.54,0,3.78,1699,2022,"PBR","ROSS","40.700221",-105.544028,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,47.262,"10:30",,,,2022-08-08 16:30:00.000000
"Poudre South Fork",2022-08-08,11.94,21.2,0.68,3.22,1.94,6.94,346.35,34.69,1.67,0.02,0.44,0.77,3.67,0.04,0.24,0.14,0,1,1700,2022,"SFM","ROSS","40.61825",-105.525583,"Mainstem","South Fork","CLP Mainstem-Canyon","Partially Burned",,,53.476,"11:10",,,,2022-08-08 17:10:00.000000
"Poudre Below S. Fork",2022-08-08,9.71,11.4,0.92,3.61,0.47,7.25,466.69,54.26,1.74,0.02,0.73,1.51,7.03,0.03,0.51,0.42,0,3.02,1701,2022,"PSF","ROSS","40.694953",-105.448748,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,33.951,"12:00",,,,2022-08-08 18:00:00.000000
"Poudre Above North Fork",2022-08-08,8.45,8.2,1.04,3.12,0.14,7.37,470.59,56.02,2.01,0.02,0.88,1.37,7.06,0.04,0.76,0.12,0,4.01,1703,2022,"PNF","ROSS","40.702459",-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,7.471,"12:58",,,,2022-08-08 18:58:00.000000
"Poudre at Bellvue Diversion",2022-08-08,11,16.3,0.72,3.12,0.43,7.44,539.83,62.76,2.16,0.01,0.86,1.59,7.59,0.16,0.97,0.08,0,3.79,1704,2022,"PBD","ROSS","40.664519",-105.22419,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,0,,,,,
"Long Draw Reservoir",2022-08-09,0.93,1.41,0.46,2.41,0.12,6.97,337.1,49.3,0.89,0.04,0.5,1.12,6.88,0.23,0.17,0.34,0,6.74,1705,2022,"LNGR","ROSS","40.50087627",-105.7725307,"Reservoir","Longdraw","Long Draw Reservoir","Unburned",0,0,100.445,"9:40",,,,2022-08-09 15:40:00.000000
"Long Draw Outlet",2022-08-09,9.08,9.39,0.47,2.23,0.29,7.01,299.98,53.04,0.91,0.05,0.5,1.26,7.81,0.13,0.11,0.52,0,9.15,1707,2022,"LNGO","ROSS","40.50368571",-105.7709459,"Outflow","Longdraw","Long Draw Reservoir","Unburned",0,0,98.705,"10:20",,,,2022-08-09 16:20:00.000000
"Peterson Reservoir",2022-08-09,2.56,4,2.07,6.58,0.2,6.91,249.42,38.14,1.41,0.05,1.07,0.68,5.44,0.04,0.43,0.11,0,2.19,1708,2022,"PTRR","ROSS","40.55936515",-105.7940034,"Reservoir","Longdraw","Peterson Reservoir","Burned",0.32090379008746356,0.3055062638172439,91.236,"11:36",,,,2022-08-09 17:36:00.000000
"Peterson Outlet",2022-08-09,0.67,0.99,1.57,6.5,0.32,6.99,306.48,37.48,1.4,0.03,1.14,0.65,4.58,0.03,0.47,0.14,0,2.4,1709,2022,"PTRO","ROSS","40.56063874",-105.7929021,"Outflow","Longdraw","Peterson Reservoir","Burned",0.32090379008746356,0.3055062638172439,91.236,,,,,
"Joe Wright Inlet",2022-08-09,5.4,4.2,0.2,1.09,0.34,7.19,483.31,61.51,1.45,0.06,0.49,1.44,7.98,0.05,0.4,0.47,0,6.01,1710,2022,"JOEI","ROSS","40.54013102",-105.8831698,"Inflow","Chambers Complex","Joe Wright Reservoir","Unburned",0.006530548628428928,0,95.264,"12:45",,,,2022-08-09 18:45:00.000000
"Joe Wright Reservoir",2022-08-09,4.38,3.96,0.97,2.84,0.19,7.11,458.23,51.62,1.44,0.02,0.64,1.31,6.7,0.11,0.49,0.03,0,3.24,1711,2022,"JOER","ROSS","40.55593744",-105.8749619,"Reservoir","Chambers Complex","Joe Wright Reservoir","Partially Burned",0.006530548628428928,0.048734263332836585,93.218,"13:15",,,,2022-08-09 19:15:00.000000
"Chambers Inlet",2022-08-09,7.09,6.33,0.64,2.74,0.22,7.01,460.04,53.75,1.78,0.01,0.79,1.26,6.89,0.09,0.59,0.22,0,2.43,1712,2022,"CBRI","ROSS","40.57795281",-105.8572773,"Inflow","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.11067457970644089,90.13,"13:36",,,,2022-08-09 19:36:00.000000
"Barnes Meadow Outflow",2022-08-09,5.04,5.06,1.86,6.54,0.92,6.92,597.05,81.22,2.33,0.53,1.31,1.45,10.6,0.01,1.74,0.22,0,5.97,1713,2022,"BMD","ROSS","40.600376",-105.836378,"Outflow","Chambers Complex","Barnes Meadow Reservoir","Burned",0.1845300397739167,0.4490768485927012,84.049,"14:00",,,,2022-08-09 20:00:00.000000
"Barnes Meadow Reservoir",2022-08-09,4.16,10.5,2.01,6.55,0.49,7.13,580.13,81.09,2.39,0.05,1.27,1.43,10.24,0.07,1.63,0.03,0.28,7.31,1714,2022,"BRNR","ROSS","40.599908",-105.830604,"Reservoir","Chambers Complex","Barnes Meadow Reservoir","Burned",0.1845300397739167,0.4490768485927012,85.149,"14:25",,,,2022-08-09 20:25:00.000000
"Chambers Reservoir",2022-08-09,3.28,3.87,1.94,2.59,0.2,7.11,389.75,45.89,1.42,0.02,0.83,1.1,6.42,0.07,0.5,0.04,0,2.19,1715,2022,"CBRR","ROSS","40.603457",-105.845931,"Reservoir","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.19135067209931075,87.814,"15:00",,,,2022-08-09 21:00:00.000000
"Chambers Outflow",2022-08-09,4.33,3.56,1.71,2.48,0.26,7.08,541.61,59.23,1.87,0.04,1.03,1.22,8.28,0.04,0.54,0.2,0,2.38,1716,2022,"CHD","ROSS","40.60233229",-105.8427286,"Outflow","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.19135067209931075,86.049,"15:15",,,,2022-08-09 21:15:00.000000
"Long Draw Reservoir",2022-08-16,0.24,0.37,0.77,2.41,0.22,6.92,271.79,49.99,1.41,0.04,0.58,1.15,7.27,0.26,0.24,0.41,0,7.3,1717,2022,"LNGR","ROSS","40.50087627",-105.7725307,"Reservoir","Longdraw","Long Draw Reservoir","Unburned",0,0,100.445,"10:05",,,,2022-08-16 16:05:00.000000
"Long Draw Outlet",2022-08-16,30.54,32.02,,2.37,0.19,6.9,270.79,52.17,0.95,0.05,0.54,1.22,7.83,0.16,0.11,0.47,0,8.96,1718,2022,"LNGO","ROSS","40.50368571",-105.7709459,"Outflow","Longdraw","Long Draw Reservoir","Unburned",0,0,98.705,"10:30",,,,2022-08-16 16:30:00.000000
"Peterson Reservoir",2022-08-16,39.44,44.44,2.8,6.58,0.29,6.98,233.81,38.3,1.56,0.03,1.15,0.74,5.28,0.03,0.49,0.33,0,2.31,1719,2022,"PTRR","ROSS","40.55936515",-105.7940034,"Reservoir","Longdraw","Peterson Reservoir","Burned",0.32090379008746356,0.3055062638172439,91.236,"11:20",,,,2022-08-16 17:20:00.000000
"Peterson Outlet",2022-08-16,5.1,4.92,2.3,6.68,0.36,6.97,326.59,37.88,1.55,0.03,1.16,0.73,4.89,0.07,0.47,0.08,0,2.27,1721,2022,"PTRO","ROSS","40.56063874",-105.7929021,"Outflow","Longdraw","Peterson Reservoir","Burned",0.32090379008746356,0.3055062638172439,91.236,"11:44",,,,2022-08-16 17:44:00.000000
"Joe Wright Inlet",2022-08-16,0.06,1.09,0.24,1.43,0.29,7.2,480.82,66.45,1.62,0.12,0.53,1.65,9.02,0.04,0.39,0.44,0,6.6,1722,2022,"JOEI","ROSS","40.54013102",-105.8831698,"Inflow","Chambers Complex","Joe Wright Reservoir","Unburned",0.006530548628428928,0,95.264,"12:35",,,,2022-08-16 18:35:00.000000
"Joe Wright Reservoir",2022-08-16,0.66,0.93,3.06,2.89,0.11,7.15,452.79,52.16,1.39,0.02,0.64,1.29,6.72,0.11,0.46,0.03,0,3.25,1723,2022,"JOER","ROSS","40.55593744",-105.8749619,"Reservoir","Chambers Complex","Joe Wright Reservoir","Partially Burned",0.006530548628428928,0.048734263332836585,93.218,"13:05",,,,2022-08-16 19:05:00.000000
"Chambers Inlet",2022-08-16,5.4,5.3,3.63,2.84,0.27,7.09,370.03,45.9,1.44,0.04,0.72,1.23,6.21,0.1,0.61,0.39,0,2.78,1724,2022,"CBRI","ROSS","40.57795281",-105.8572773,"Inflow","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.11067457970644089,90.13,"13:25",,,,2022-08-16 19:25:00.000000
"Barnes Meadow Outflow",2022-08-16,7.21,3.96,0.72,6.52,0.99,6.98,583.66,81.85,2.31,0.59,1.29,1.42,10.84,0.03,1.71,0.22,0,5.66,1725,2022,"BMD","ROSS","40.600376",-105.836378,"Outflow","Chambers Complex","Barnes Meadow Reservoir","Burned",0.1845300397739167,0.4490768485927012,84.049,"13:48",,,,2022-08-16 19:48:00.000000
"Barnes Meadow Reservoir",2022-08-16,4.61,10.56,2.47,6.37,0.27,7.14,549.49,76.99,2.42,0.01,1.3,1.35,9.19,0.06,1.68,0.09,0,7.26,1726,2022,"BRNR","ROSS","40.599908",-105.830604,"Reservoir","Chambers Complex","Barnes Meadow Reservoir","Burned",0.1845300397739167,0.4490768485927012,85.149,"14:05",,,,2022-08-16 20:05:00.000000
"Chambers Reservoir",2022-08-16,1.39,0.96,4.21,2.61,0.06,7.13,384.3,47.62,1.39,0.02,0.78,1.08,7.1,0.04,0.44,0.04,0,2.09,1727,2022,"CBRR","ROSS","40.603457",-105.845931,"Reservoir","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.19135067209931075,87.814,"14:51",,,,2022-08-16 20:51:00.000000
"Chambers Outflow",2022-08-16,6.59,5.18,2.58,2.86,0.33,7.05,377.49,49.86,1.49,0.02,0.86,1.15,7.17,0.06,0.55,0.26,0,2.18,1728,2022,"CHD","ROSS","40.60233229",-105.8427286,"Outflow","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.19135067209931075,86.049,"15:10",,,,2022-08-16 21:10:00.000000
"Sawmill",2022-08-17,1.65,0.92,,1.06,0.27,7.22,437.88,49.82,1.16,0.02,0.8,1.22,7.07,0.03,0.15,0.74,0,2.25,1729,2022,"SAWM","ROSS","40.581377",-105.856229,"Stream","Tributary","CLP Tributary","Partially Burned",,,90.13,"9:20",,,,2022-08-17 15:20:00.000000
"Beaver",2022-08-17,32.18,26.36,,2.39,0.37,6.91,255.58,34.2,1.85,0.04,0.62,0.85,4.36,0.02,0.32,0.79,0,1.48,1738,2022,"BEAV","ROSS","40.579336",-105.5940998,"Stream","South Fork","CLP Tributary","Burned",,,61.499,"14:30",,,,2022-08-17 20:30:00.000000
"Long Draw Reservoir",2022-08-23,4.81,4,0.82,2.34,0.17,6.91,299.24,48.5,1.39,0.02,0.51,1.01,6.63,0.17,0.14,0.36,0,7.39,1739,2022,"LNGR","ROSS","40.50087627",-105.7725307,"Reservoir","Longdraw","Long Draw Reservoir","Unburned",0,0,100.445,"9:20",6.49,"51.3","14.5",2022-08-23 15:20:00.000000
"Long Draw Outlet",2022-08-23,0.7,1.2,0.84,2.21,0.3,6.92,325.37,49.31,0.89,0.04,0.49,0.98,6.75,0.17,0.13,0.39,0,7.6,1740,2022,"LNGO","ROSS","40.50368571",-105.7709459,"Outflow","Longdraw","Long Draw Reservoir","Unburned",0,0,98.705,"9:49",6.95,"52.52","13.9",2022-08-23 15:49:00.000000
"Peterson Reservoir",2022-08-23,8.29,6.9,2.35,6.11,0.37,7.01,233.26,35.03,1.49,0.05,0.98,0.76,4.73,0.04,0.59,0.37,0,2.3,1741,2022,"PTRR","ROSS","40.55936515",-105.7940034,"Reservoir","Longdraw","Peterson Reservoir","Burned",0.32090379008746356,0.3055062638172439,91.236,"10:35",6.11,"36.55","13.5",2022-08-23 16:35:00.000000
"Peterson Outlet",2022-08-23,6.99,6.2,2.52,6.09,0.65,6.98,290.29,34.69,1.37,0.05,0.93,0.55,4.38,0.02,0.54,0.31,0,2.11,1742,2022,"PTRO","ROSS","40.56063874",-105.7929021,"Outflow","Longdraw","Peterson Reservoir","Burned",0.32090379008746356,0.3055062638172439,91.236,"10:55",6.34,"37.93","13.1",2022-08-23 16:55:00.000000
"Joe Wright Inlet",2022-08-23,0.89,1.1,0.2,0.8,0.2,6.92,522.94,61.38,1.4,0.02,0.44,1.28,8.07,0.06,0.37,0.66,0,6.57,1743,2022,"JOEI","ROSS","40.54013102",-105.8831698,"Inflow","Chambers Complex","Joe Wright Reservoir","Unburned",0.006530548628428928,0,95.264,"12:10",7.59,"66.35","10",2022-08-23 18:10:00.000000
"Joe Wright Reservoir",2022-08-23,2.45,2.7,2.22,2.5,0.19,6.92,420.18,47.43,1.21,0.04,0.53,1.01,5.95,0.06,0.47,0.02,0,3.07,1745,2022,"JOER","ROSS","40.55593744",-105.8749619,"Reservoir","Chambers Complex","Joe Wright Reservoir","Partially Burned",0.006530548628428928,0.048734263332836585,93.218,"12:33",6.85,"48.38","17.5",2022-08-23 18:33:00.000000
"Chambers Inlet",2022-08-23,2.21,1.45,0.56,2.63,0.2,6.92,450.68,52.98,1.49,0.04,0.65,0.93,7.5,0.06,0.63,0.31,0,2.29,1746,2022,"CBRI","ROSS","40.57795281",-105.8572773,"Inflow","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.11067457970644089,90.13,"13:07",7.55,"50.68","9.7",2022-08-23 19:07:00.000000
"Barnes Meadow Outflow",2022-08-23,199.46,135.45,20.56,6.32,0.93,6.91,603.41,76.98,2.19,0.54,1.2,1.36,9.28,0.02,1.68,0.39,0,4.74,1747,2022,"BMD","ROSS","40.600376",-105.836378,"Outflow","Chambers Complex","Barnes Meadow Reservoir","Burned",0.1845300397739167,0.4490768485927012,84.049,"13:30",6.99,"92.5","9.2",2022-08-23 19:30:00.000000
"Barnes Meadow Reservoir",2022-08-23,5.1,4.21,2.21,6.42,0.25,6.94,527.46,69.11,1.97,0.05,0.99,1.05,9.07,0.02,1.56,0.1,0,6.67,1748,2022,"BRNR","ROSS","40.599908",-105.830604,"Reservoir","Chambers Complex","Barnes Meadow Reservoir","Burned",0.1845300397739167,0.4490768485927012,85.149,"13:50",6.8,"75.4","20.8",2022-08-23 19:50:00.000000
"Chambers Reservoir",2022-08-23,0.38,0.4,1.6,2.53,0.09,6.92,412.73,43.86,1.16,0.07,0.62,0.79,5.55,0.02,0.35,0.03,0,1.96,1749,2022,"CBRR","ROSS","40.603457",-105.845931,"Reservoir","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.19135067209931075,87.814,"14:25",6.81,"43.55","18.1",2022-08-23 20:25:00.000000
"Chambers Outflow",2022-08-23,1.75,0.5,1.34,2.49,0.26,7.08,437.56,41.89,1.16,0.07,0.59,0.78,5.07,0.02,0.44,0.09,0,1.92,1750,2022,"CHD","ROSS","40.60233229",-105.8427286,"Outflow","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.19135067209931075,86.049,"14:40",6.69,"45.37","14.4",2022-08-23 20:40:00.000000
"Joe Wright Inlet",2022-08-25,0.44,0.4,0.18,0.81,0.3,6.92,506.34,61.85,1.27,0.04,0.37,1.18,7.78,0.06,0.37,0.72,0,6.4,1751,2022,"JOEI","ROSS","40.54013102",-105.8831698,"Inflow","Chambers Complex","Joe Wright Reservoir","Unburned",0.006530548628428928,0,95.264,"9:30",,,,2022-08-25 15:30:00.000000
"Joe Wright Reservoir",2022-08-25,3.65,3.74,3.23,2.72,0.16,6.95,381.13,44.19,1.16,0.03,0.49,0.97,5.62,0.06,0.49,0.03,0,3.13,1753,2022,"JOER","ROSS","40.55593744",-105.8749619,"Reservoir","Chambers Complex","Joe Wright Reservoir","Partially Burned",0.006530548628428928,0.048734263332836585,93.218,"10:40",,,,2022-08-25 16:40:00.000000
"Chambers Inlet",2022-08-25,2.39,1.26,0.57,2.7,0.21,6.97,495.92,51.91,1.47,0.04,0.61,0.93,7.76,0.06,0.68,0.31,0,2.3,1754,2022,"CBRI","ROSS","40.57795281",-105.8572773,"Inflow","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.11067457970644089,90.13,"11:50:00 AM",,,,2022-08-25 17:50:00.000000
"Barnes Meadow Reservoir",2022-08-25,6.95,6.43,2.62,6.6,0.24,6.89,544.92,71.26,1.92,0.09,0.92,1.08,8.96,0.04,1.67,0.09,0,6.97,1755,2022,"BRNR","ROSS","40.599908",-105.830604,"Reservoir","Chambers Complex","Barnes Meadow Reservoir","Burned",0.1845300397739167,0.4490768485927012,85.149,,,,,
"Chambers Reservoir",2022-08-25,4.83,5.32,1.39,2.47,0.09,6.96,381.09,39.92,1.12,0.06,0.54,0.76,5.02,0.06,0.51,0.03,0,2.04,1757,2022,"CBRR","ROSS","40.603457",-105.845931,"Reservoir","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.19135067209931075,87.814,"14:00",,,,2022-08-25 20:00:00.000000
"Chambers Outflow",2022-08-25,2.41,2.47,0.55,2.67,0.12,6.95,374.02,40.23,1.12,0.06,0.56,0.79,5.02,0.06,0.53,0.23,0,2.06,1758,2022,"CHD","ROSS","40.60233229",-105.8427286,"Outflow","Chambers Complex","Chambers Reservoir","Burned",0.3299053356282272,0.19135067209931075,86.049,"14:45",,,,2022-08-25 20:45:00.000000
"JWC-Joe Wright @ Aspen Glen Campground",2022-08-25,1.31,2,1.11,2.68,0.31,7.31,375.4,41.69,1.19,0.06,0.58,0.8,5.29,0.06,0.55,0.14,0,2.04,1759,2022,"JWC","ROSS","40.61988",-105.81937,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,80.916,,,,,
"Poudre Above Joe Wright",2022-08-25,4.08,2.69,0.73,2.38,0.34,6.96,306.2,41.9,0.91,0.03,0.36,0.74,4.9,0.03,0.18,0.62,0,5.64,1760,2022,"PJW","ROSS","40.634114",-105.807264,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,80.916,,,,,
"Poudre Above North Fork",2022-08-25,18.09,15.66,1.01,2.53,0.45,7.17,499.98,57.16,2.05,0.02,0.9,1.4,7.11,0.04,0.8,0.11,0,4.12,1761,2022,"PNF","ROSS","40.702459",-105.241588,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,7.471,,,,,
"Poudre at Bellvue Diversion",2022-08-25,15,32.21,1.13,2.5,0.27,7.47,538.5,66.89,2.2,0.03,0.9,1.83,7.89,0.1,0.99,0.04,0,3.89,1762,2022,"PBD","ROSS","40.664519",-105.22419,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,0,,,,,
"Poudre at Legacy Bridge",2022-08-25,31.07,28.73,4.2,2.77,0.37,7.07,773.59,104.34,4.68,0.04,1.93,2.26,12.28,0.39,2.08,1.24,0,7.66,1764,2022,"legacy","ROSS","40.6006194",-105.0860344,"Mainstem","Mainstem","CLP  Mainstem-Fort Collins","Partially Burned",,,,,,,,
"Poudre at Timberline",2022-08-25,28.17,30.98,10.17,3.22,0.67,7.28,1388.19,247.78,13.38,0.09,2.33,6.16,24.46,0.47,11.83,1.17,0,34.22,1765,2022,"timberline","ROSS","40.5754289",-105.0333903,"Mainstem","Mainstem","CLP  Mainstem-Fort Collins","Partially Burned",,,,,,,,
"Poudre at ELC",2022-08-25,34.98,41.51,25.91,3.27,0.96,7.6,2360.22,600.6,25.46,0.11,2.47,16.54,61.12,0.48,21.7,1.39,0,116.81,1766,2022,"ELC","ROSS","40.5519476",-105.0105977,"Mainstem","Mainstem","CLP  Mainstem-Fort Collins","Partially Burned",,,,,,,,
"Poudre at Archery Range",2022-08-25,52.03,53.53,20.38,3.27,0.92,7.4,2358.44,629.95,25.36,0.1,2.63,17.92,64.98,0.49,21.61,1.49,0,124.04,1767,2022,"archery","ROSS","40.5479138",-105.0011275,"Mainstem","Mainstem","CLP  Mainstem-Fort Collins","Partially Burned",,,,,,,,
"JWC-Joe Wright @ Aspen Glen Campground",2022-08-26,6.25,7.8,0.76,2.47,0.26,7.18,461,44.39,1.12,0.04,0.54,0.84,5.22,0.02,0.52,0.18,0,1.94,1769,2022,"JWC","ROSS","40.61988",-105.81937,"Mainstem","Mainstem","CLP Mainstem-Canyon","Partially Burned",,,80.916,"9:15",7.09,"47.75","14.3",2022-08-26 15:15:00.000000
