FCW_Number,Time,Field_DO_mgL,Field_Cond_µS/cm,Field_Temp_C
1606,12:12,NA,NA,NA
1607,12:32,NA,NA,NA
1608,13:12,NA,NA,NA
1609,13:55,NA,NA,NA
1610,14:32,NA,NA,NA
1611,14:59,NA,NA,NA
1620,10:50,NA,NA,NA
1622,11:20:00 AM,NA,NA,NA
1623,11:50,NA,NA,NA
1624,12:06,NA,NA,NA
1625,13:00:00 PM,NA,NA,NA
1626,13:00:00 PM,NA,NA,NA
1627,13:47,NA,NA,NA
1628,13:47,NA,NA,NA
1629,10:10,NA,NA,NA
1630,11:00,NA,NA,NA
1631,12:10,NA,NA,NA
1632,13:45,NA,NA,NA
1633,14:36,NA,NA,NA
1634,15:19,NA,NA,NA
1635,17:05,NA,NA,NA
1636,18:06,NA,NA,NA
1637,18:06,NA,NA,NA
1638,18:06,NA,NA,NA
1639,9:35,NA,NA,NA
1640,9:35,NA,NA,NA
1641,10:35,NA,NA,NA
1643,11:45,NA,NA,NA
1644,11:45,NA,NA,NA
1645,12:10,NA,NA,NA
1646,12:30,NA,NA,NA
1647,12:19,NA,NA,NA
1648,13:10,NA,NA,NA
1649,13:50,NA,NA,NA
1650,14:10,NA,NA,NA
1651,9:26,NA,NA,NA
1652,9:26,NA,NA,NA
1653,10:02,NA,NA,NA
1654,10:32,NA,NA,NA
1655,11:14,NA,NA,NA
1656,12:56,NA,NA,NA
1657,13:51,NA,NA,NA
1658,14:23,NA,NA,NA
1659,10:00,NA,NA,NA
1660,10:30,NA,NA,NA
1661,10:30,NA,NA,NA
1662,11:30,NA,NA,NA
1663,12:00,NA,NA,NA
1664,12:41,NA,NA,NA
1665,13:05,NA,NA,NA
1666,13:50,NA,NA,NA
1667,13:50,NA,NA,NA
1668,14:09,NA,NA,NA
1669,14:35,NA,NA,NA
1670,15:05,NA,NA,NA
1672,9:01,NA,NA,NA
1673,10:05,NA,NA,NA
1674,10:05,NA,NA,NA
1675,12:35,NA,NA,NA
1677,13:00,NA,NA,NA
1678,13:00,NA,NA,NA
1679,13:45,NA,NA,NA
1680,14:46,NA,NA,NA
1681,15:30,NA,NA,NA
1682,16:30,NA,NA,NA
1683,9:07,NA,NA,NA
1684,9:40,NA,NA,NA
1685,10:04,NA,NA,NA
1686,10:04,NA,NA,NA
1687,11:10,NA,NA,NA
1688,11:38,NA,NA,NA
1689,12:50,NA,NA,NA
1690,12:49,NA,NA,NA
1691,14:00,NA,NA,NA
1692,14:19,NA,NA,NA
1693,14:55,NA,NA,NA
1694,15:12,NA,NA,NA
1696,9:20,NA,NA,NA
1697,9:20,NA,NA,NA
1698,10:00,NA,NA,NA
1699,10:30,NA,NA,NA
1700,11:10,NA,NA,NA
1701,12:00,NA,NA,NA
1702,12:00,NA,NA,NA
1703,12:58,NA,NA,NA
1705,9:40,NA,NA,NA
1706,9:40,NA,NA,NA
1707,10:20,NA,NA,NA
1708,11:36,NA,NA,NA
1710,12:45,NA,NA,NA
1711,13:15,NA,NA,NA
1712,13:36,NA,NA,NA
1713,14:00,NA,NA,NA
1714,14:25,NA,NA,NA
1715,15:00,NA,NA,NA
1716,15:15,NA,NA,NA
1717,10:05,NA,NA,NA
1718,10:30,NA,NA,NA
1719,11:20,NA,NA,NA
1720,11:20,NA,NA,NA
1721,11:44,NA,NA,NA
1722,12:35,NA,NA,NA
1723,13:05,NA,NA,NA
